"phi","dens","study","distribution"
0.415415415415415,6.5331846079248e-89,"study_0","Beta"
0.416416416416416,2.53582755952915e-89,"study_0","Beta"
0.417417417417417,9.82244355347426e-90,"study_0","Beta"
0.418418418418418,3.79683945272149e-90,"study_0","Beta"
0.419419419419419,1.46462217758469e-90,"study_0","Beta"
0.42042042042042,5.63803092933771e-91,"study_0","Beta"
0.421421421421421,2.16583593346373e-91,"study_0","Beta"
0.422422422422422,8.30266791814189e-92,"study_0","Beta"
0.423423423423423,3.17615387281184e-92,"study_0","Beta"
0.424424424424424,1.21248082017921e-92,"study_0","Beta"
0.425425425425425,4.61886642021925e-93,"study_0","Beta"
0.426426426426426,1.7558232534471e-93,"study_0","Beta"
0.427427427427427,6.66052906615427e-94,"study_0","Beta"
0.428428428428428,2.52125543483086e-94,"study_0","Beta"
0.429429429429429,9.52363597552629e-95,"study_0","Beta"
0.43043043043043,3.58974963430469e-95,"study_0","Beta"
0.431431431431431,1.35020142341464e-95,"study_0","Beta"
0.432432432432432,5.06761447474411e-96,"study_0","Beta"
0.433433433433433,1.89791490729537e-96,"study_0","Beta"
0.434434434434434,7.09276559865902e-97,"study_0","Beta"
0.435435435435435,2.64495141943088e-97,"study_0","Beta"
0.436436436436436,9.84193549735805e-98,"study_0","Beta"
0.437437437437437,3.65427758466852e-98,"study_0","Beta"
0.438438438438438,1.35387391663757e-98,"study_0","Beta"
0.439439439439439,5.00504538925239e-99,"study_0","Beta"
0.44044044044044,1.84624084813098e-99,"study_0","Beta"
0.441441441441441,6.79542513331072e-100,"study_0","Beta"
0.442442442442442,2.49568768440917e-100,"study_0","Beta"
0.443443443443443,9.14548060490563e-101,"study_0","Beta"
0.444444444444444,3.34397383186078e-101,"study_0","Beta"
0.445445445445445,1.21999085230852e-101,"study_0","Beta"
0.446446446446446,4.44104273480728e-102,"study_0","Beta"
0.447447447447447,1.61304057302035e-102,"study_0","Beta"
0.448448448448448,5.8456775897756e-103,"study_0","Beta"
0.449449449449449,2.11373676576908e-103,"study_0","Beta"
0.45045045045045,7.62589192885462e-104,"study_0","Beta"
0.451451451451451,2.74505657690689e-104,"study_0","Beta"
0.452452452452452,9.85893602082305e-105,"study_0","Beta"
0.453453453453453,3.53284071717984e-105,"study_0","Beta"
0.454454454454454,1.26307887444031e-105,"study_0","Beta"
0.455455455455455,4.50553549505621e-106,"study_0","Beta"
0.456456456456456,1.6035001047904e-106,"study_0","Beta"
0.457457457457457,5.69370924250941e-107,"study_0","Beta"
0.458458458458458,2.01707643408708e-107,"study_0","Beta"
0.459459459459459,7.12930578902958e-108,"study_0","Beta"
0.46046046046046,2.51400980118835e-108,"study_0","Beta"
0.461461461461461,8.84460667151984e-109,"study_0","Beta"
0.462462462462462,3.10440869995774e-109,"study_0","Beta"
0.463463463463463,1.08708880668234e-109,"study_0","Beta"
0.464464464464464,3.79781541835107e-110,"study_0","Beta"
0.465465465465465,1.32367781639648e-110,"study_0","Beta"
0.466466466466466,4.6026423006149e-111,"study_0","Beta"
0.467467467467467,1.59663454660599e-111,"study_0","Beta"
0.468468468468468,5.52553109360843e-112,"study_0","Beta"
0.469469469469469,1.90769772682593e-112,"study_0","Beta"
0.47047047047047,6.57065896377689e-113,"study_0","Beta"
0.471471471471471,2.25771385057215e-113,"study_0","Beta"
0.472472472472472,7.73902461979299e-114,"study_0","Beta"
0.473473473473473,2.64641317946682e-114,"study_0","Beta"
0.474474474474474,9.02775725175625e-115,"study_0","Beta"
0.475475475475475,3.07220066878816e-115,"study_0","Beta"
0.476476476476476,1.0429498646182e-115,"study_0","Beta"
0.477477477477477,3.53197864438724e-116,"study_0","Beta"
0.478478478478478,1.19319137308324e-116,"study_0","Beta"
0.479479479479479,4.02101904298966e-117,"study_0","Beta"
0.48048048048048,1.35173858672033e-117,"study_0","Beta"
0.481481481481481,4.53290264752086e-118,"study_0","Beta"
0.482482482482482,1.51629495518497e-118,"study_0","Beta"
0.483483483483483,5.05954077245086e-119,"study_0","Beta"
0.484484484484485,1.68405042577903e-119,"study_0","Beta"
0.485485485485485,5.59129117582201e-120,"study_0","Beta"
0.486486486486486,1.85173388597935e-120,"study_0","Beta"
